id,category,question,answer,top_similarity,precision_at_k,mrr,ndcg_at_k,chunk_coverage,faithfulness,answer_relevancy,rouge_l,completeness,is_zero_result,response_ms,confusion_label
GP011,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Gout (Thống phong) thể Đàm ứ trở trệ theo y học cổ truyền?","Bệnh Gout (Thống phong) thể Đàm ứ trở trệ là một loại bệnh lý thuộc phạm vi của y học cổ truyền, được mô tả trong các tài liệu y học cổ truyền Trung Quốc và Việt Nam.

**Nguyên nhân:**

Theo y học cổ truyền, bệnh Gout (Thống phong) thể Đàm ứ trở trệ được gây ra bởi sự tích tụ của đàm ứ và phong nhiệ",0.5862,0.0,0.0,0.0,0.4,0.7722,0.5,0.2214,1.0,0,28441,correct
GP012,xuong_khop,Bệnh Gout (Thống phong) thể Can thận lưỡng hư có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Gout (Thống phong) thể Can thận lưỡng hư là một tình trạng bệnh lý đặc trưng bởi sự suy yếu của cả Can thận và âm âm (âm âm bao gồm âm khí và âm huyết). Điều này dẫn đến sự mất cân bằng trong cơ thể, gây ra các biểu hiện lâm sàng như:

- Đau nhức ở khớp, đặc biệt là ở bàn chân và tay
- Sưng và ",0.6868,0.0,0.0,0.0,0.4,0.55,0.5,0.1734,0.9391,0,11805,correct
GP013,xuong_khop,Bệnh Viêm khớp dạng thấp (Chứng tý) thể Phong thấp có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Viêm khớp dạng thấp (Chứng tý) thể Phong thấp là một loại bệnh lý thuộc về Y học cổ truyền Việt Nam, được mô tả trong tài liệu ""Thuốc khư phong thấp"".

Biểu hiện lâm sàng của bệnh Viêm khớp dạng thấp thể Phong thấp bao gồm:

- Đau nhức mình mẩy, lưng gối nhức mỏi
- Cơ khớp tê dại hoặc sưng nóng",0.6839,0.6,0.5,0.7003,0.4,0.8222,0.5,0.3587,0.9052,0,17458,correct
GP014,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Viêm khớp dạng thấp (Chứng tý) thể Hàn thấp theo y học cổ truyền?","**Nguyên nhân của Viêm khớp dạng thấp (Chứng tý) thể Hàn thấp theo y học cổ truyền:**

Theo y học cổ truyền, Viêm khớp dạng thấp (Chứng tý) thể Hàn thấp được gây ra bởi sự xâm nhập của tam tà khí (phong, hàn, thấp) vào kinh lạc, khớp đốt và cơ nhục. Tam tà khí này có thể xâm nhập từ bên ngoài hoặc d",0.6012,0.4,1.0,0.8503,0.4,0.9251,0.5,0.2573,1.0,0,14068,correct
GP015,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Viêm khớp dạng thấp (Chứng tý) thể Phong thấp nhiệt theo y học cổ truyền?","Bệnh Viêm khớp dạng thấp (Chứng tý) thể Phong thấp nhiệt là một chứng bệnh thường gặp trong y học cổ truyền Việt Nam. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Theo y học cổ truyền, bệnh Viêm khớp dạng thấp (Chứng tý) thể Phong thấp nhiệt sinh ra do ngoạ",0.6922,0.4,1.0,1.0,0.4,0.8826,0.5,0.4059,1.0,0,18521,correct
GP016,xuong_khop,Bệnh Viêm khớp dạng thấp (Chứng tý) thể Can thận hư có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Viêm khớp dạng thấp (Chứng tý) thể Can thận hư là một dạng bệnh lý đặc trưng bởi sự suy giảm chức năng của Can thận, dẫn đến sự hư hỏng của các khớp và cơ thể. Biểu hiện lâm sàng của bệnh này bao gồm:

- Đau khớp và cơ
- Sưng phù và biến dạng khớp
- Co duỗi khó khăn
- Tê dại và khó cử động
- Ph",0.688,0.0,0.0,0.0,0.4,0.8472,0.5,0.3684,0.8896,0,14838,correct
GP017,ho_hap,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Hội chứng cổ vai cánh tay (Chứng tý) thể Phong hàn theo y học cổ truyền?","Hội chứng cổ vai cánh tay (Chứng tý) thể Phong hàn là một chứng bệnh thuộc phạm vi của phong thấp, được mô tả trong Y học cổ truyền Việt Nam. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Theo Y học cổ truyền Việt Nam, Hội chứng cổ vai cánh tay (Chứng tý) th",0.6267,0.0,0.0,0.0,0.4,0.7857,0.5,0.2112,1.0,0,14839,correct
GP018,ho_hap,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Hội chứng cổ vai cánh tay (Chứng tý) thể Phong thấp nhiệt tý theo y học cổ truyền?","Hội chứng cổ vai cánh tay (Chứng tý) thể Phong thấp nhiệt tý theo y học cổ truyền được mô tả như sau:

**Nguyên nhân:**

Bệnh tý sinh ra do ngoại tà xâm nhập và chính khí hư nhược dẫn đến tam tà khí; phong, hàn thấp thừa hư xâm phạm vào khắp cơ nhục, kinh lạc, khớp đốt v.v… khí huyết không tuyên thô",0.7147,0.2,1.0,1.0,0.4,0.9087,0.5,0.3519,0.9974,0,14830,correct
GP019,ho_hap,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Hội chứng cổ vai cánh tay (Chứng tý) thể Huyết ứ theo y học cổ truyền?","Theo Y học cổ truyền, Hội chứng cổ vai cánh tay (Chứng tý) thể Huyết ứ là một loại bệnh tý sinh ra do chính khí hư nhược dẫn đến tam tà khí; phong, hàn thấp thừa hư xâm phạm vào khắp cơ nhục, kinh lạc, khớp đốt v.v… khí huyết không tuyên thông được mà sinh ra.

Triệu chứng của bệnh này bao gồm:

- Đ",0.6589,0.4,1.0,0.9197,0.4,0.8721,0.6667,0.5059,0.9252,0,21672,correct
GP020,xuong_khop,Bệnh Hội chứng cổ vai cánh tay (Chứng tý) thể Can thận hư có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Hội chứng cổ vai cánh tay (Chứng tý) thể Can thận hư là một tình trạng bệnh lý trong Y học cổ truyền Việt Nam, được mô tả như sau:

Biểu hiện lâm sàng:

- Đau nhức ở các khớp di chuyển (phong tý)
- Cổ vai cánh tay đau nhức, khó di chuyển
- Có thể có các triệu chứng khác như mệt mỏi, giảm khả năng vậ",0.6846,0.0,0.0,0.0,0.4,0.7563,0.5,0.4188,0.8574,0,15684,correct
GP021,xuong_khop,Bệnh Tăng huyết áp vô căn (Huyễn vựng) thể Can dương thượng cang có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Tăng huyết áp vô căn (Huyễn vựng) thể Can dương thường có các biểu hiện lâm sàng như:

- Sốt cao, mồ hôi trộm
- Đau đầu, chóng mặt
- Mờ mắt, hoa mắt
- Suy nhược thần kinh
- Cường tuyến giáp
- Huyết áp cao

Để điều trị bệnh Tăng huyết áp vô căn thể Can dương, có thể sử dụng bài thuốc ""KỶ CÚC ĐỊA",0.6778,0.2,0.3333,0.5,0.4,0.7566,0.5,0.3348,0.8922,0,18528,correct
GP022,xuong_khop,Bệnh Tăng huyết áp vô căn (Huyễn vựng) thể Can thận âm hư có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Tăng huyết áp vô căn (Huyễn vựng) thể Can thận âm hư là một tình trạng bệnh lý phức tạp, trong đó Can thận âm hư là nguyên nhân chính gây ra tăng huyết áp. Biểu hiện lâm sàng của bệnh này bao gồm:

* Tăng huyết áp không rõ nguyên nhân
* Suy nhược thần kinh
* Suy giảm khả năng sinh sản ở nam giớ",0.7451,0.4,0.5,0.6509,0.4,0.8467,0.5,0.3262,0.8913,0,17606,correct
GP023,tiet_nieu_sinh_duc,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Tăng huyết áp vô căn (Huyễn vựng) thể Âm dương lưỡng hư theo y học cổ truyền?","Bệnh Tăng huyết áp vô căn (Huyễn vựng) thể Âm dương lưỡng hư là một trạng thái bệnh lý trong y học cổ truyền Việt Nam, được mô tả như sau:

**Nguyên nhân:**

Theo y học cổ truyền, bệnh Tăng huyết áp vô căn thể Âm dương lưỡng hư thường do sự mất cân bằng giữa âm và dương trong cơ thể, dẫn đến sự suy ",0.6212,0.0,0.0,0.0,0.6,0.85,0.5,0.1786,1.0,0,16886,correct
GP024,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Tăng huyết áp vô căn (Huyễn vựng) thể Đàm thấp theo y học cổ truyền?","Theo y học cổ truyền, Tăng huyết áp vô căn (Huyễn vựng) thể Đàm thấp là một trong những nguyên nhân gây tăng huyết áp không rõ nguyên nhân. Nguyên nhân của chứng bệnh này được giải thích như sau:

Nguyên nhân: Đàm thấp là một trạng thái bệnh lý trong đó có sự tích tụ của các chất độc hại trong cơ th",0.5972,0.4,1.0,0.8772,0.4,0.7143,0.6667,0.1495,1.0,0,20052,correct
GP025,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Tỳ hư đàm thấp theo y học cổ truyền?","Bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Tỳ hư đàm thấp theo y học cổ truyền được mô tả như sau:

**Nguyên nhân:**

Theo y học cổ truyền, chứng Tỳ hư đàm thấp là do Tỳ vị hư tổn, không đủ năng lực để điều hòa và chuyển hóa lipid trong cơ thể. Nguyên nhân",0.658,0.0,0.0,0.0,0.4,0.3064,0.5,0.0743,1.0,0,22815,correct
GP026,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Tỳ thận dương hư theo y học cổ truyền?","**Nguyên nhân:**

Theo y học cổ truyền, chứng Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Tỳ thận dương hư được gây ra bởi sự mất cân bằng giữa Tỳ và Thận, dẫn đến sự suy giảm của dương khí trong cơ thể. Điều này có thể do nhiều nguyên nhân, bao gồm:

* Thiếu kh",0.671,0.0,0.0,0.0,0.6,0.7565,0.5,0.1715,1.0,0,25217,correct
GP027,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Can thận âm hư theo y học cổ truyền?","Theo y học cổ truyền, Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Can thận âm hư được mô tả như sau:

**Nguyên nhân:**

* Can thận âm hư là tình trạng âm dương mất cân bằng, âm yếu, dương quá, dẫn đến rối loạn chuyển hóa lipid trong cơ thể.
* Nguyên nhân có thể ",0.6888,0.2,0.5,0.6309,0.6,0.8145,0.5,0.2314,1.0,0,25409,correct
GP028,xuong_khop,Bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Can uất tỳ hư có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Can uất tỳ hư có các biểu hiện lâm sàng như sau:

- Ngực sườn đầy tức, đau
- ợ chua, ợ hơi
- Mạch huyền (xơ gan còn bù)

Để điều trị chứng Can uất tỳ hư, chúng ta có thể sử dụng bài thuốc Sài hồ 9g (sắc trước) Hươ",0.682,0.2,1.0,1.0,0.6,0.8872,0.5,0.3692,0.8722,0,17484,correct
GP029,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Thấp nhiệt nội kết theo y học cổ truyền?","Bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Thấp nhiệt nội kết theo y học cổ truyền được mô tả như sau:

**Nguyên nhân:**

Bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Thấp nhiệt nội kết được gây ra bởi sự mất cân b",0.6247,0.2,0.3333,0.5,0.6,0.7356,0.6667,0.1538,1.0,0,21196,correct
GP030,tieu_hoa,Bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Khí trệ huyết ứ có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm) thể Khí trệ huyết ứ có các biểu hiện lâm sàng như:

- Ngực sườn đầy tức
- Ăn kém
- Buồn nôn
- Nôn
- ợ hơi
- Sắc mặt vàng
- Rêu lưỡi trắng nhớt
- Mạch huyền (xơ gan còn bù)

Để điều trị bệnh này, có thể sử dụng bài thu",0.675,0.0,0.0,0.0,0.6,0.8626,0.5,0.3148,0.8626,0,24641,correct
GP031,tuan_hoan_than_kinh,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bệnh dây thần kinh mặt (Khẩu nhãn oa tà) thể Phong hàn ở kinh lạc theo y học cổ truyền?","Bệnh dây thần kinh mặt (Khẩu nhãn ôa tà) thể Phong hàn ở kinh lạc theo y học cổ truyền là một chứng bệnh ngoại cảm phong hàn, ảnh hưởng đến kinh lạc và dây thần kinh mặt. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Theo y học cổ truyền, bệnh dây thần kinh ",0.6886,0.0,0.0,0.0,0.4,0.8192,0.3333,0.2962,1.0,0,18217,correct
GP032,tuan_hoan_than_kinh,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bệnh dây thần kinh mặt (Khẩu nhãn oa tà) thể Phong nhiệt theo y học cổ truyền?","Bệnh dây thần kinh mặt (Khẩu nhãn oa tà) thể Phong nhiệt theo y học cổ truyền là một chứng bệnh thuộc phạm vi của ""Phong nhiệt"" trong Đông y học. Nguyên nhân của bệnh này thường do sự mất cân bằng giữa âm và dương, dẫn đến sự bạo phát của dương khí và âm khí suy nhược.

Triệu chứng của bệnh dây thần",0.6638,0.2,0.25,0.4307,0.4,0.8224,0.5,0.3266,1.0,0,16536,correct
GP033,tuan_hoan_than_kinh,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bệnh dây thần kinh mặt (Khẩu nhãn oa tà) thể Huyết ứ theo y học cổ truyền?","Bệnh dây thần kinh mặt (Khẩu nhãn oa tà) thể Huyết ứ là một chứng bệnh thuộc phạm vi của Y học cổ truyền Việt Nam, được mô tả trong các tài liệu y học cổ truyền. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Theo Y học cổ truyền, bệnh dây thần kinh mặt thể H",0.6533,0.0,0.0,0.0,0.4,0.8042,0.5,0.1614,1.0,0,21122,correct
GP034,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Phong hàn theo y học cổ truyền?","Theo y học cổ truyền, bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Phong hàn được mô tả như sau:

**Nguyên nhân:**

Bệnh Hiếp thống thể Phong hàn được coi là do phong tà xâm nhập vào cơ thể, gây ra chứng đau dây thần kinh liên sườn. Phong tà có thể xâm nhập vào cơ thể qua các cách khác nhau, ch",0.6747,0.0,0.0,0.0,0.4,0.656,0.5,0.1628,0.9687,0,17170,correct
GP035,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Can khí uất kết theo y học cổ truyền?","Bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Can khí uất kết theo y học cổ truyền là một chứng bệnh do Can khí uất kết gây ra, dẫn đến đau nhức dây thần kinh liên sườn.

**Nguyên nhân:**

Theo y học cổ truyền, nguyên nhân của bệnh Đau dây thần kinh liên sườn thể Can khí uất kết là do Can khí uấ",0.7003,0.0,0.0,0.0,0.4,0.875,0.5,0.2414,1.0,0,13034,correct
GP036,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Can uất hóa hỏa theo y học cổ truyền?","Bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Can uất hóa hỏa là một chứng bệnh trong y học cổ truyền Việt Nam, được mô tả như sau:

**Nguyên nhân:**

Theo y học cổ truyền, bệnh Đau dây thần kinh liên sườn thể Can uất hóa hỏa thường xuất phát từ sự bất đồng cân bằng giữa các yếu tố âm dương tron",0.6696,0.2,0.5,0.6309,0.4,0.7451,0.5,0.1167,1.0,0,19332,correct
GP037,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Tà uất thiếu dương theo y học cổ truyền?","Theo Y học cổ truyền, Đau dây thần kinh liên sườn (Hiếp thống) thể Tà uất thiếu dương được mô tả như sau:

**Nguyên nhân:**

Nguyên nhân của Đau dây thần kinh liên sườn thể Tà uất thiếu dương là do ""tà uất"" (phong tà) xâm phạm vào kinh mạch, gây nên chứng thiếu dương khí, dẫn đến đau dây thần kinh l",0.6726,0.0,0.0,0.0,0.4,0.7716,0.5,0.2154,0.9748,0,14623,correct
GP038,tuan_hoan_than_kinh,Bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Huyết ứ có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Huyết ứ có các biểu hiện lâm sàng như sau:

- Đau dây thần kinh liên sườn
- Huyết ứ ở ngực sườn
- Các chấn thương phần mềm
- Áp xe gan

Để điều trị bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Huyết ứ, có thể sử dụng bài thuốc ""PHÚC NGUYÊN"" như ",0.7478,0.4,1.0,1.0,0.4,0.9247,0.5,0.4809,0.8087,0,17498,correct
GP039,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Can đởm thấp nhiệt theo y học cổ truyền?","Bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Can đởm thấp nhiệt là một chứng bệnh thuộc phạm vi của Y học cổ truyền Việt Nam. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Theo Y học cổ truyền, bệnh Đau dây thần kinh liên sườn (Hiếp thống) thể Can đởm t",0.6979,0.0,0.0,0.0,0.4,0.7143,0.5,0.1757,1.0,0,12057,correct
GP040,tiet_nieu_sinh_duc,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau thần kinh tọa (Yêu cước thống) thể Thể phong hàn thấp theo y học cổ truyền?","Theo Y học cổ truyền, Đau thần kinh tọa (Yêu cước thống) thể Thể phong hàn thấp là một chứng bệnh thuộc phạm vi phong thấp, được đặc trưng bởi đau nhức ở vùng thần kinh tọa (tức là vùng lưng dưới và chân).

**Nguyên nhân:**

Nguyên nhân của Đau thần kinh tọa thể Thể phong hàn thấp thường là do phong",0.7631,0.0,0.0,0.0,0.4,0.82,0.5,0.3184,1.0,0,15045,correct
GP041,xuong_khop,Bệnh Đau thần kinh tọa (Yêu cước thống) thể Phong hàn thấp kết hợp can thận hư có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Đau thần kinh tọa (Yêu cước thống) thể Phong hàn thấp kết hợp can thận hư là một chứng bệnh phức tạp, bao gồm cả phong thấp và hàn thấp, kết hợp với hư tổn của thận.

Biểu hiện lâm sàng của bệnh này có thể bao gồm:

* Đau nhức ở vùng lưng, đặc biệt là ở vùng thắt lưng
* Tê yếu hoặc mất cảm giác",0.8203,0.0,0.0,0.0,0.4,0.7696,0.5,0.1553,0.973,0,20634,correct
GP042,tiet_nieu_sinh_duc,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau thần kinh tọa (Yêu cước thống) thể Thấp nhiệt theo y học cổ truyền?","Bệnh Đau thần kinh tọa (Yêu cước thống) thể Thấp nhiệt là một trong những chứng bệnh thuộc nhóm bệnh lý biểu gặp trong các bệnh nhiễm ở giai đoạn sơ khởi. Theo y học cổ truyền, nguyên nhân của bệnh này thường do phong nhiệt, thấp nhiệt hoặc thấp hàn gây ra.

Triệu chứng của bệnh Đau thần kinh tọa th",0.7131,0.0,0.0,0.0,0.4,0.8529,0.5,0.2373,1.0,0,18325,correct
GP043,tiet_nieu_sinh_duc,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau thần kinh tọa (Yêu cước thống) thể Huyết ứ theo y học cổ truyền?","Theo Y học cổ truyền, Đau thần kinh tọa (Yêu cước thống) thể Huyết ứ là một chứng bệnh do huyết ứ gây ra, dẫn đến đau nhức ở vùng thần kinh tọa (đầu gối).

**Nguyên nhân:**

Theo Y học cổ truyền, nguyên nhân của Đau thần kinh tọa thể Huyết ứ có thể là do:

* Huyết ứ gây ra bởi các yếu tố như:
 + Huy",0.6809,0.0,0.0,0.0,0.4,0.8073,0.5,0.1823,0.98,0,18296,correct
