herb_id,herb_name,herb_name_latin,nature_vi,temp_property,yin_yang,element_group,category_vi,meridian,indication_vi,safety_note,data_source
H011,Chỉ thực,Citrus aurantium L.,"Khổ, tân, toan",Vi hàn,Âm,Thổ,Thuốc phá khí giáng nghịch,"Tỳ, Vị","Phá khí tiêu tích, hóa đờm tiêu bĩ. Chủ trị: Thực tích, thực nhiệt tích ờ đại tràng gây táo bón, đàm trọc ứ trệ ở ngực gây đau trong ngực, ăn không tiêu, bụng đầy trướng.","Phụ nữ có thai, tỳ vị hư hàn mà không đầy tích thì không nên dùng","https://duocdienvietnam.com/chi-thuc/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 280"
H012,Chỉ xác,Citrus aurantium L.,"Khổ, tân",Lương,Âm,Thổ,Thuốc phá khí giáng nghịch,"Tỳ, Vị","Phá khí hóa đờm tiêu tích (Hòa hoãn hơn Chi thực. Chủ trị: Ngực sườn trướng đau do khí trệ, khó tiêu do đờm trệ.","Tỳ vị hư hàn không có tích trệ, phụ nữ có thai không nên dùng.","https://duocdienvietnam.com/chi-xac/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 280"
H013,Cỏ nhọ nồi,Herba Ecliptae,"Cam, toan",Hàn,Âm,"Mộc, Thủy",Thuốc chỉ huyết,"Can, Thận","Công năng: Lương huyết, chỉ huyết, bổ can thận. Chủ trị: Can, thận âm hư, các chứng huyết nhiệt, chứng ho ra máu, nôn ra máu, đại tiện và tiểu tiện ra máu, chảy máu cam, chảy máu dưới da, băng huyết, rong huyết.",Tỳ vị hư hàn. ỉa chảy phân sống không nên dùng.,"https://duocdienvietnam.com/co-nho-noi/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 304"
H014,Cúc hoa,Chrysanthemum indicum L.,"Cam, khổ",Bình,Trung tính,"Kim, Mộc, Hỏa, Thổ",Thuốc giải biểu cay mát,"Phế, Can, Tâm, Đởm, Vị, Tỳ, Đại trường, Tiểu trường, 8 kinh","Giải cảm nhiệt, thanh nhiệt, thanh can minh mục; dùng cho sốt do cảm mạo, đau đầu, đau mắt đỏ, mắt sưng đau, chóng mặt do can phong nhiệt; hỗ trợ hạ huyết áp; chữa mụn nhọt, viêm da và một số bệnh ngoài da.",Không dùng cho người tỳ vị hư hàn hoặc đau đầu do phong hàn; thận trọng khi dùng kéo dài hoặc liều cao.,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 183"
H015,Đan sâm (Rễ và Thân rễ),Salviae multiorrhizae,Khổ,Vi hàn,Âm,"Hỏa, Mộc",Thuốc hoạt huyết,"Tâm, Can","Hoạt huyết, thông kinh, giảm đau, thanh tâm lương huyết. Chù trị: Kinh nguyệt không đều, kinh nguyệt bế tắc, hành kinh đau bụng, huyết tích hòn cục, đau thắt ngực, mất ngủ, tâm phiền.",Không dùng chung với Lê lô.,"https://duocdienvietnam.com/dan-sam-re-va-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 291"
H016,Địa long (Giun đất),Pheretima,Hàm,Hàn,Âm,"Mộc, Thổ, Kim, Thủy",Thuốc bình suyễn,"Can, Tỳ, Phế, Bàng quang","Thanh nhiệt, trấn kinh, thông kinh lạc, bình suyễn, lợi niệu. Chủ trị: Sốt cao bất tỉnh, kinh giản co quắp, đau khớp, chân tay tê bại, bán thân bất toại, trúng phong ho suyễn do phế nhiệt, phú thùng, tiểu ít, cao huyết áp.",Không dùng cho người hư hàn.,"https://duocdienvietnam.com/dia-long/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 254"
H017,Đỗ trọng,Cortex Eucommiae,"Cam, vi tân",Ôn,Dương,"Mộc, Thủy",Thuốc bổ dưỡng,"Can, Thận","Hạ áp, hạ cholesterol, giãn mạch, kháng viêm, chống co giật, giảm đau, cầm máu, lợi tiểu. Ôn thận, tráng dương, mạnh gân cốt, an thai, nhuận can táo, bổ can hư. Chủ trị: Trị thận hư, hai bên thăn lưng đau, liệt dương, rong kinh, đầu đau, chóng mặt do thận hư. Rất thông dụng trong các bài ngâm rượu. Dưỡng thai, dùng trong trường hợp thai động, trụy thai.","Không phải can thận hư hoặc âm hư hỏa vượng không nên dùng. Kỵ Huyền sâm, Xà thoái","https://duocdienvietnam.com/do-trong-vo-than/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 350"
H018,Đương quy,Radix Angelicae sinensis,"Cam, tân",Ôn,Dương,"Hỏa, Mộc, Thổ",Thuốc bổ huyết,"Tâm, Can, Tỳ","Bổ huyết, hoạt huyết, điều kinh, giảm đau, nhuận tràng. Chủ trị: Huyết hư, chóng mặt. Kinh nguyệt không đềụ, bế kinh, đau bụng kinh, táo bón do huyết hư. Phong thấp tê đau, sưng đau do sang chấn. Đương quy chích rượu có tác dụng điều trị bế kinh, đau bụng kinh, phong thấp tê đau, sưng đau do sang chấn. Toàn Quy có tác dụng hòa huyết (vừa bổ huyết vừa hoạt huyết). Quy vĩ có tác dụng hoạt huyết hóa ứ. Quy thân có tác dụng dương huyết bổ huyết. Quy đầu có tác dụng chỉ huyết.","Tỳ vị có thấp nhiệt, đại tiện lỏng không nên dùng.","https://duocdienvietnam.com/duong-quy-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 312"
H019,Hà thủ ô đỏ (Rễ),Radix Fallopiae multiflorae,"Khổ, cam, sáp",Ôn,Dương,"Mộc, Thủy",Thuốc bổ huyết,"Can, Thận","Dưỡng huyết, bổ can thận, nhuận tràng thông tiện, làm xanh tóc. Chủ trị: Huyết hư thiếu máu, da xanh, gầy, đau lưng, di tinh, tóc bạc sớm, táo bón.","Chú ý: Hà thủ ô đỏ chưa qua chế biến bị chát se, khi dùng cần ngâm với nước gạo rồi chế với nước sắc đậu đen. Làm tăng nhu động của ruột và dạ dày (do đó mà có thể kích thích tiêu hóa, kiện vị). Hà thủ ô đỏ cón có tác dụng gây hưng phấn tim. Chất lexetin có trong hà thủ ô đỏ có tác dụng bổ thần kinh, có khả năng làm cho chất cholesterol trầm tích trong gan làm giảm tác dụng xơ cứng động mạch. Với nồng độ pha loãng của dịch chiết 1/100 có tác dụng ức chế trực khuẩn lao. Ngoải ra còn có tác dụng ức chế Staphylococcus aureus Streptococcus. Khi thu hái cần có ý thức giâm lại dây để cây thuốc tiếp tục phát triển","https://duocdienvietnam.com/ha-thu-o-do-re/
category_vi, safety_note:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 314"
H020,Hải mã (Cá ngựa),Hippocampus,"Cam, hàm",Ôn,Dương,"Mộc, Thủy",Thuốc bổ dương (thuốc trợ dương),"Can, Thận","Ôn thận tráng dương, tán kết tiêu thũng. Chủ trị: Liệt dương, di niệu, thận hư, tái xuyễn, trưng hà, u cục ở trong bụng, ngã tổn thương. Dùng ngoài trị mụn nhọt sưng đau.",Phụ nữ mang thai kiêng dùng,"https://duocdienvietnam.com/ca-ngua/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 356"
H021,Hậu phác (Vỏ),Cortex Magnoliae officinalis,"Khổ, tân",Ôn,Dương,"Thổ, Kim",Thuốc hành khí giải uất,"Tỳ, Vị, Phế,  Đại trường","Ôn trung hạ khí, táo thấp tiêu đờm. Chủ trị: Thượng vị đầy trướng, nôn mửa, tiết tả, thực tích, ho, suyễn.","Tỳ vị hư yếu, nguyên khí kém, phụ nữ có thai thận trọng khi dùng.","https://duocdienvietnam.com/hau-phac-vo/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 276"
H022,Hoắc hương,Herba Pogostemonis,Tân,Ôn,Dương,"Thổ, Kim",Thuốc hóa thấp,"Tỳ, Vị, Phế","Giải thử, hóa thấp, chỉ nôn. Chủ trị: Chữa cảm nắng, hoắc loạn, bụng đầy trướng, nôn mửa, ỉa chảy.","hông dùng cho người âm hư, khí hư.","https://duocdienvietnam.com/hoac-huong/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 330"
H023,Hoàng cầm (Rễ),Radix Scutellariae,Khổ,Hàn,Âm,"Hỏa, Kim, Mộc",Thuốc thanh nhiệt táo thấp,"Tâm, Phế, Can Đờm, Đại trường, Tiểu trường","Thanh nhiệt táo thấp, tả hòa giải độc, an thai. Chủ trị: Phế nhiệt ho đờm đặc, đau sưng họng, nôn ra máu, máu cam, viêm gan mật, kiết lỵ, tiêu chảy, mụn nhọt, lở ngứa, động thai chảy máu.","Người tỳ vị hư hàn, không có thấp nhiệt, thực hỏa thì không nên dùng.","https://duocdienvietnam.com/hoang-cam-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 222"
H024,Hoàng tinh (Thân rễ),Rhizoma Polygonati,Cam,Bình,Trung tính (Thiên Dương),"Thổ, Kim, Thủy",Thuốc bổ âm (dưỡng âm),"Tỳ, Phế, Thận","Kiện tỳ, nhuận phế, ích thận. Chủ trị: Tỳ vị hư nhược, cơ thể mệt mỏi, sức yếu, miệng khô, ăn kém, phế hư ho khan, tinh huyết bất túc, nội nhiệt tiêu khát.","Người phế vị có đờm thấp nặng, không nên dùng.","https://duocdienvietnam.com/hoang-tinh-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 342"
H025,Huyền sâm (Rễ),Radix Scrophulariae,"Khổ, hàm",Hàn,Âm,"Kim, Thủy",Thuốc thanh nhiệt giáng hỏa,"Phế, Thận","Tư âm giáng hỏa, lương huyết giải độc. Chủ trị: sốt cao, sốt nóng về chiều, viêm họng, phát ban, mụn nhọt, mẩn ngứa, táo bón.","Tỳ vị hư hàn, tiêu hóa rối loạn không dùng. Không dùng chung với Lê lô.","https://duocdienvietnam.com/huyen-sam-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 216"
H026,Ích mẫu,Herba Leonuri japonici,"Tân, khổ",Vi hàn,Âm,"Mộc, Hỏa",Thuốc hoạt huyết,"Can, Tâm bào","Hoạt huyết khứ ứ, lợi thủy tiêu phù. Chủ trị: Rối loạn kinh nguyệt, kinh đau, kinh bế, khí hư bạch đới, rong kinh, rong huyết, huyết hôi ra không hết, phù thũng, tiểu tiện không lợi.",Không dùng cho người huyết hư không có huyết ứ.,"https://duocdienvietnam.com/ich-mau/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 296"
H027,Kê huyết đằng,Caulis Spatholobi suberecti,"Khổ, cam",Ôn,Dương,"Mộc, Thủy",Thuốc hoạt huyết,"Can, Thận","Hoạt huyết thông lạc, bổ huyết. Chủ trị: Chứng huyết hư gây huyết ứ trệ, bế thống kinh, chấn thương tụ huyết, phong thấp đau lưng, đau xương khớp.",,"https://duocdienvietnam.com/ke-huyet-dang/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 299"
H028,Kê nội kim,Endothelium Corneum Gigeriae Galli,Cam,Bình,Trung tính (Thiên Dương),"Thổ, Hỏa, Thủy",Thuốc tiêu đạo (thuốc tiêu hóa),"Tỳ, Vị, Tiểu trường, Bàng quang","Kiện vị, tiêu thực, sáp tinh. Chủ trị: Thực tích không tiêu, bụng đầy trướng, nôn mửa, kiết lỵ, di tinh. Trẻ em cam tích, đái dầm.",Không bị tích trệ không nên dùng.,"https://duocdienvietnam.com/ke-noi-kim/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 358"
H029,Ké đầu ngựa (Quả),Fructus Xanthii strumarii,"Tân, khổ",Ôn,Dương,Kim,Thuốc khử phong thấp,Phế,"Trừ phong thấp, tiêu độc, tán phong thông khiếu. Chủ trị: Đau khớp, chân tay tê dại co rút; viêm mũi, viêm xoang; mụn nhọt, mẩn ngứa.",Đau đầu do huyết hư không nên dùng.,"https://duocdienvietnam.com/ke-dau-ngua-qua/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 323"
H030,Kim ngân hoa,Flos Lonicerae,Cam,Hàn,Âm,"Kim, Thổ, Hỏa",Thuốc thanh nhiệt giải độc,"Phế, Vị, Tâm","Thanh nhiệt, giải độc, tán phong nhiệt. Chủ trị: Ung nhọt, ban sởi, mày đay, lở ngứa, cảm mạo phong nhiệt, ôn bệnh phát nhiệt, nhiệt độc huyết lị.","Tỳ vị hư hàn ỉa chảy, hoặc vết thương, mụn nhọt có mủ loãng do khí hư; mụn nhọt đă có mủ, vỡ loét không nên dùng.","https://duocdienvietnam.com/kim-ngan-2/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 201"
H031,Kim tiền thảo,Herba Desmodii styracifolii,"Cam, hàm",Lương,Âm,"Mộc, Thủy",Thuốc lợi thấp,"Can, Đởm, Thận, Bàng quang","Thanh thấp nhiệt, lợi tiểu. Chủ trị: Nhiệt lâm, thạch lâm, phù thũng, hoàng đản.",,"https://duocdienvietnam.com/kim-tien-thao/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 338"
H032,Kinh giới,Herba Elsholtziae ciliatae,"Tân, vi khổ",Ôn,Dương,"Kim, Mộc",Thuốc giải biểu cay ấm,"Phế, Can","Giải biểu, khu phong, chỉ ngứa, tuyên độc thấu chẩn. Chủ trị: Cảm mạo, phong hàn, phong nhiệt, phong cấm khẩu, mụn nhọt, dị ứng, sởi mọc không tốt. Sao đen: Chỉ huyết. Chủ trị: Rong huyết, băng huyết, thổ huyết, đại tiện ra máu.","Biểu hư, tự ra mồ hôi nhiều, không có ngoại cảm, phong hàn không nên dùng.","https://duocdienvietnam.com/kinh-gioi/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 170"
H033,Lạc tiên,Herba Passiflorae foetidae,"Cam, vi khổ",Lương,Âm,"Hỏa, Mộc",Thuốc dưỡng tâm an thần,"Tâm, Can","An thần, giải nhiệt, mát gan. Chủ trị: Suy nhược thần kinh, tim hồi hộp, mất ngủ, ngủ mơ.",,"https://duocdienvietnam.com/lac-tien/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 268"
H034,Lô hội,"Aloe vera (L.), Aloe ferox Mm",Khổ,Hàn,Âm,"Mộc, Thổ, Kim",Thuốc tả hạ có tính hàn,"Can, Vị, Đại trường","Thanh can nhiệt, thông tiện. Chủ trị: Can có thực nhiệt, đại tiện bí, tiểu nhi cam tích kinh phong, can nhiệt, bế kinh, làm giảm độc ba đậu.","Tỳ vị suy yếu, đang ỉa lỏng hoặc phụ nữ có thai không dùng.","https://duocdienvietnam.com/lo-hoi-nhua/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 363"
H035,Lộc Nhung,Cornu Cervi Pantotrichum,"Cam, hàm",Ôn,Dương,"Mộc, Thủy",Thuốc bổ dương (thuốc trợ dương),"Can, Thận","Bổ thận dương, ích tinh huyết, mạnh gân cốt, trừ nhọt độc. Chủ trị: Liệt dương, hoạt tính, tử cung lạnh, khó thụ thai,  tinh thần mệt mỏi, sợ lạnh, chóng mặt, tai ù, tai điếc (cơ năng), trẻ chậm liền thóp, lưng gối đau lạnh, gân xương  mềm yếu, rong huyết, nhọt lâu ngày không liền miệng.",Thực nhiệt âm hư dương thịnh không nên dùng.,"https://duocdienvietnam.com/loc-nhung/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 353"
H036,Mạch nha,Fructus Hordei germinatus,Cam,Bình,Trung tính (Thiên Dương),Thổ,Thuốc tiêu đạo (thuốc tiêu hóa),"Tỳ, Vị","Kiện tỳ tiêu thực, tiêu sưng thông sữa. Chủ trị: Thực tích bụng đầy trướng, ăn kém. tiêu hóa kém, làm mất sữa hoặc vú sưng đau do sữa ứ lại, vú tức đau khi căng sữa.","Phụ nữ có thai, hoặc đang thời kỳ cho con bú không nên dùng.","https://duocdienvietnam.com/mach-nha/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 359"
H037,Màn kinh tử,Fructus Viticis trifoliae,"Tân, khổ",Vi hàn,Âm,"Mộc, Kim, Thổ, Thủy",Thuốc giải biểu cay ấm,"Can, Phế, Vị, Bàng quang","Sơ tán phong nhiệt, khu phong thắng thấp. Chủ trị: Cảm mạo, nhức đầu do phong nhiệt, sưng đau răng lợi, đau mắt kèm chảy nhiều nước mắt, hoa mắt, chóng mặt, phong thấp, cân mạch co rút.",Huyết hư không nên dùng.,"https://duocdienvietnam.com/man-kinh-tu/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 185"
H038,Mật ong,Mel,Cam,Bình,Trung tính (Thiên Dương),"Thổ, Kim",Thuốc tả hạ có tính nhiệt,"Tỳ, Phế, Đại trường","Bổ trung, nhuận táo, chỉ thống, giải độc. Chủ trị: Tỳ vị hư nhược, đau thượng vị, ho, táo bón, giải độc Ô đầu, điều hòa các vị thuốc.","Sôi bụng, ỉa chảy hay đầy bụng, không nên dùng.","https://duocdienvietnam.com/mat-ong/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 366"
H039,Miết giáp,Carapax Trionycis,Hàm,Hàn,Âm,"Mộc, Thủy",Thuốc bổ âm (dưỡng âm),"Can, Thận","Tư âm tiềm dương, nhuyễn kiên, thoái nhiệt, trừ trưng hà. Chủ trị: Dùng điều trị âm hư phát sốt, lao nhiệt nóng trong xương, hư phong nội động, phụ nữ kinh bế, trưng hà, sốt rét lâu ngày có báng, gan lách to.","Hư mà không nhiệt, vị yếu hay nôn mửa, tỳ hư có tiết tả, phụ nữ có thai không nên dùng.","https://duocdienvietnam.com/miet-giap/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 346"
H040,Ngải cứu,Herba Artemisiae vulgaris,"Khổ, tân",Ôn,Dương,"Mộc, Thổ, Thủy",Thuốc chỉ huyết,"Can, Tỳ, Thận","Chỉ huyết, trừ hàn thấp, điều kinh, an thai. Chủ trị: Kinh  nguyệt không đều, băng huyết, rong huyết, thổ huyết, khí hư bạch đới, động thai, viêm ruột, lỵ.","Âm hư huyết nhiệt, không nên dùng.","https://duocdienvietnam.com/ngai-cuu/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 308"
H041,Ngũ vị tử,Schisandra chinensis (Turcz.) K. Koch,"Toan, hàm",Ôn,Dương,"Kim, Thủy",Thuốc liễm hãn,"Phế, Thận","Liễm phế chỉ ho, sinh tân chỉ hàn, bổ thận cố tinh, chỉ tả, an thần. Chủ trị: Ho lâu ngày và hư suyễn, mộng tinh, di tinh, hoạt tinh, đái dầm, niệu tan, tiêu chảy kéo dài, tự hãn, đạo hãn, tân dịch hao tổn, háo khát, mạch hư, nội nhiệt,  tiêu khát, đánh trống ngực và mất ngủ.","Kiêng kỵ đang cảm sốt cao, lên sởi, sốt phát ban.","https://duocdienvietnam.com/ngu-vi-tu/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 373"
H042,Nhân trần,Herba Adenosmatis caerulei,"Khổ, tân",Vi hàn,Âm,Mộc,Thuốc thanh nhiệt táo thấp,"Can, Đởm","Thanh nhiệt lợi thấp, thoái hoàng. Chủ trị: Viêm gan vàng da, viêm túi mật, tiểu vàng, tiểu đục ít, phụ nữ sau sinh ăn chậm tiêu.","Chú ý: Nhân trần có tác dụng chống oxy hóa tốt. Ngoài cây nhân trần ra, còn dùng cây bồ bồ Adenosma apitatum Benth Họ Hoa mõm sói Scrophulariaceae để làm thuốc, chữa các bệnh nói trên, đặc biệt là bệnh viêm gan hoàng đản. Tuy nhiên tác dụng kém hơn","https://duocdienvietnam.com/nhan-tran/
category_v, safety_notei:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 225"
